Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Datetime,,,,,
2026-04-08 03:45:00+00:00,55040.5,55082.1484375,54809.8515625,54904.44921875,0
2026-04-08 03:50:00+00:00,54915.69921875,55130.44921875,54903.75,55043.44921875,0
2026-04-08 03:55:00+00:00,54956.5,55018.30078125,54893.3515625,54923.25,0
2026-04-08 04:00:00+00:00,55007.3984375,55062.8515625,54951.1015625,54951.1015625,0
2026-04-08 04:05:00+00:00,55131.3984375,55140.5,55001.25,55004.75,0
2026-04-08 04:10:00+00:00,55180.1484375,55188.75,55116.3515625,55124.3515625,0
2026-04-08 04:15:00+00:00,55235.5,55276.30078125,55177.94921875,55177.94921875,0
2026-04-08 04:20:00+00:00,55215.55078125,55306.6015625,55183.5,55229.25,0
2026-04-08 04:25:00+00:00,55165.19921875,55268.0,55148.30078125,55213.0,0
2026-04-08 04:30:00+00:00,55175.80078125,55277.75,55140.94921875,55164.69921875,0
2026-04-08 04:35:00+00:00,55202.3515625,55293.44921875,55173.44921875,55173.44921875,0
2026-04-08 04:40:00+00:00,55181.05078125,55210.3984375,55164.19921875,55197.8984375,0
2026-04-08 04:45:00+00:00,55247.6484375,55248.1484375,55151.5,55184.6484375,0
2026-04-08 04:50:00+00:00,55224.55078125,55262.05078125,55169.3515625,55251.05078125,0
2026-04-08 04:55:00+00:00,55324.3984375,55327.44921875,55206.25,55225.5,0
2026-04-08 05:00:00+00:00,55378.19921875,55383.75,55287.1484375,55326.30078125,0
2026-04-08 05:05:00+00:00,55315.75,55378.8515625,55282.5,55378.8515625,0
2026-04-08 05:10:00+00:00,55347.69921875,55361.44921875,55273.05078125,55319.75,0
2026-04-08 05:15:00+00:00,55386.19921875,55405.6015625,55322.8984375,55342.3515625,0
2026-04-08 05:20:00+00:00,55451.8515625,55458.80078125,55386.25,55386.25,0
2026-04-08 05:25:00+00:00,55477.6484375,55502.3984375,55432.3984375,55452.8984375,0
2026-04-08 05:30:00+00:00,55475.0,55533.8515625,55459.94921875,55478.75,0
2026-04-08 05:35:00+00:00,55488.80078125,55505.80078125,55465.3515625,55484.6484375,0
2026-04-08 05:40:00+00:00,55489.44921875,55527.19921875,55480.94921875,55489.30078125,0
2026-04-08 05:45:00+00:00,55502.5,55550.3984375,55470.55078125,55488.1484375,0
