Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-03-18 03:45:00+00:00,23721.900390625,23726.0,23630.25,23634.30078125,0
2026-03-18 03:50:00+00:00,23676.150390625,23738.44921875,23675.5,23721.599609375,0
2026-03-18 03:55:00+00:00,23715.30078125,23724.150390625,23667.30078125,23677.0,0
2026-03-18 04:00:00+00:00,23725.30078125,23735.05078125,23714.80078125,23714.80078125,0
2026-03-18 04:05:00+00:00,23708.05078125,23729.349609375,23706.44921875,23726.80078125,0
2026-03-18 04:10:00+00:00,23721.75,23731.099609375,23700.099609375,23708.099609375,0
2026-03-18 04:15:00+00:00,23732.19921875,23733.94921875,23704.44921875,23720.349609375,0
2026-03-18 04:20:00+00:00,23724.349609375,23754.349609375,23720.849609375,23733.400390625,0
2026-03-18 04:25:00+00:00,23691.25,23725.19921875,23669.55078125,23724.30078125,0
2026-03-18 04:30:00+00:00,23657.05078125,23695.650390625,23650.599609375,23691.150390625,0
2026-03-18 04:35:00+00:00,23650.19921875,23664.0,23643.30078125,23658.05078125,0
2026-03-18 04:40:00+00:00,23664.30078125,23666.30078125,23640.69921875,23649.349609375,0
2026-03-18 04:45:00+00:00,23707.349609375,23711.0,23664.650390625,23664.94921875,0
2026-03-18 04:50:00+00:00,23735.849609375,23736.05078125,23701.349609375,23707.69921875,0
2026-03-18 04:55:00+00:00,23722.94921875,23737.849609375,23716.69921875,23734.900390625,0
2026-03-18 05:00:00+00:00,23732.150390625,23739.44921875,23713.44921875,23721.650390625,0
2026-03-18 05:05:00+00:00,23731.5,23746.0,23723.0,23730.400390625,0
2026-03-18 05:10:00+00:00,23723.349609375,23741.19921875,23718.30078125,23730.55078125,0
2026-03-18 05:15:00+00:00,23759.849609375,23760.19921875,23721.099609375,23721.650390625,0
2026-03-18 05:20:00+00:00,23768.150390625,23769.650390625,23752.650390625,23759.55078125,0
2026-03-18 05:25:00+00:00,23770.599609375,23777.900390625,23764.19921875,23767.55078125,0
2026-03-18 05:30:00+00:00,23784.400390625,23785.94921875,23764.150390625,23770.80078125,0
2026-03-18 05:35:00+00:00,23777.150390625,23784.19921875,23764.55078125,23782.44921875,0
2026-03-18 05:40:00+00:00,23785.30078125,23790.75,23768.44921875,23776.599609375,0
2026-03-18 05:45:00+00:00,23787.05078125,23787.05078125,23770.599609375,23784.69921875,0
2026-03-18 05:50:00+00:00,23798.19921875,23800.849609375,23781.849609375,23786.25,0
2026-03-18 05:55:00+00:00,23799.599609375,23805.80078125,23779.75,23797.849609375,0
2026-03-18 06:00:00+00:00,23791.650390625,23804.349609375,23790.099609375,23798.75,0
2026-03-18 06:05:00+00:00,23812.94921875,23814.849609375,23783.099609375,23791.69921875,0
2026-03-18 06:10:00+00:00,23817.94921875,23835.099609375,23812.099609375,23813.349609375,0
2026-03-18 06:15:00+00:00,23804.150390625,23820.400390625,23804.150390625,23816.900390625,0
2026-03-18 06:20:00+00:00,23820.55078125,23822.5,23803.55078125,23804.30078125,0
2026-03-18 06:25:00+00:00,23806.30078125,23821.30078125,23806.30078125,23820.150390625,0
2026-03-18 06:30:00+00:00,23793.30078125,23810.80078125,23787.0,23806.650390625,0
2026-03-18 06:35:00+00:00,23779.599609375,23797.19921875,23777.75,23793.44921875,0
2026-03-18 06:40:00+00:00,23779.650390625,23789.55078125,23772.150390625,23779.05078125,0
2026-03-18 06:45:00+00:00,23786.44921875,23787.69921875,23775.150390625,23779.19921875,0
2026-03-18 06:50:00+00:00,23781.44921875,23788.80078125,23769.400390625,23785.69921875,0
2026-03-18 06:55:00+00:00,23767.0,23784.19921875,23760.900390625,23781.599609375,0
2026-03-18 07:00:00+00:00,23780.849609375,23789.94921875,23767.150390625,23767.150390625,0
2026-03-18 07:05:00+00:00,23772.599609375,23788.80078125,23765.30078125,23780.19921875,0
2026-03-18 07:10:00+00:00,23778.19921875,23778.19921875,23762.400390625,23772.599609375,0
2026-03-18 07:15:00+00:00,23785.75,23785.75,23764.94921875,23777.69921875,0
2026-03-18 07:20:00+00:00,23772.44921875,23794.5,23768.349609375,23785.44921875,0
2026-03-18 07:25:00+00:00,23775.900390625,23781.150390625,23765.75,23771.599609375,0
2026-03-18 07:30:00+00:00,23796.150390625,23798.19921875,23775.150390625,23775.150390625,0
2026-03-18 07:35:00+00:00,23777.849609375,23797.599609375,23766.400390625,23796.44921875,0
2026-03-18 07:40:00+00:00,23803.19921875,23803.19921875,23774.69921875,23776.5,0
2026-03-18 07:45:00+00:00,23796.599609375,23810.19921875,23792.400390625,23802.400390625,0
2026-03-18 07:50:00+00:00,23828.69921875,23829.25,23797.25,23798.0,0
2026-03-18 07:55:00+00:00,23824.349609375,23836.650390625,23810.349609375,23828.19921875,0
2026-03-18 08:00:00+00:00,23833.150390625,23837.400390625,23816.0,23823.849609375,0
2026-03-18 08:05:00+00:00,23841.400390625,23843.25,23824.150390625,23834.94921875,0
2026-03-18 08:10:00+00:00,23844.400390625,23844.400390625,23829.650390625,23840.5,0
2026-03-18 08:15:00+00:00,23829.44921875,23845.44921875,23824.150390625,23845.44921875,0
